Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class,Day_of_Week,Lighting
Ramapuram,Ambal Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Monday,Good
Ramapuram,Ambal Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Tuesday,Good
Ramapuram,Ambal Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Wednesday,Good
Ramapuram,Ambal Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Thursday,Good
Ramapuram,Ambal Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Friday,Good
Ramapuram,Ambal Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Saturday,Good
Ramapuram,Ambal Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Sunday,Good
Ramapuram,Ambal Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Monday,Good
Ramapuram,Ambal Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Tuesday,Good
Ramapuram,Ambal Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Wednesday,Good
Ramapuram,Ambal Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Thursday,Good
Ramapuram,Ambal Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Friday,Good
Ramapuram,Ambal Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Saturday,Good
Ramapuram,Ambal Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Sunday,Good
Ramapuram,Ambal Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Monday,Good
Ramapuram,Ambal Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Tuesday,Good
Ramapuram,Ambal Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Wednesday,Good
Ramapuram,Ambal Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Thursday,Good
Ramapuram,Ambal Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Friday,Good
Ramapuram,Ambal Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Saturday,Good
Ramapuram,Ambal Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Sunday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Monday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Monday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Monday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Tuesday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Tuesday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Tuesday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Wednesday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Wednesday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Wednesday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Thursday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Thursday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Thursday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Friday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Friday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Friday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Saturday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Saturday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Saturday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Sunday,Good
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Sunday,Moderate
Ramapuram,Ambal Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Sunday,Moderate
Ramapuram,Amman Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Monday,Good
Ramapuram,Amman Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Tuesday,Good
Ramapuram,Amman Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Wednesday,Good
Ramapuram,Amman Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Thursday,Good
Ramapuram,Amman Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Friday,Good
Ramapuram,Amman Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Saturday,Good
Ramapuram,Amman Nagar,Morning,Medium,No,No,Outer,Medium,Safe,Sunday,Good
Ramapuram,Amman Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Monday,Good
Ramapuram,Amman Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Tuesday,Good
Ramapuram,Amman Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Wednesday,Good
Ramapuram,Amman Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Thursday,Good
Ramapuram,Amman Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Friday,Good
Ramapuram,Amman Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Saturday,Good
Ramapuram,Amman Nagar,Afternoon,Low,No,No,Outer,Medium,Safe,Sunday,Good
Ramapuram,Amman Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Monday,Good
Ramapuram,Amman Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Tuesday,Good
Ramapuram,Amman Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Wednesday,Good
Ramapuram,Amman Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Thursday,Good
Ramapuram,Amman Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Friday,Good
Ramapuram,Amman Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Saturday,Good
Ramapuram,Amman Nagar,Evening,Medium,No,No,Outer,Medium,Unsafe,Sunday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Monday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Monday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Monday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Tuesday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Tuesday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Tuesday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Wednesday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Wednesday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Wednesday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Thursday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Thursday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Thursday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Safe,Friday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Safe,Friday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Friday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Saturday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Saturday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Saturday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Sunday,Good
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Sunday,Moderate
Ramapuram,Amman Nagar,Night,Low,No,No,Outer,Medium,Unsafe,Sunday,Moderate
Adyar,Baktavatsalm Nagar,Morning,Medium,No,No,Outer,Low,Safe,Monday,Good
Adyar,Baktavatsalm Nagar,Morning,Medium,No,No,Outer,Low,Safe,Tuesday,Good
Adyar,Baktavatsalm Nagar,Morning,Medium,No,No,Outer,Low,Safe,Wednesday,Good
Adyar,Baktavatsalm Nagar,Morning,Medium,No,No,Outer,Low,Safe,Thursday,Good
Adyar,Baktavatsalm Nagar,Morning,Medium,No,No,Outer,Low,Safe,Friday,Good
Adyar,Baktavatsalm Nagar,Morning,Medium,No,No,Outer,Low,Safe,Saturday,Good
Adyar,Baktavatsalm Nagar,Morning,Medium,No,No,Outer,Low,Safe,Sunday,Good
Adyar,Baktavatsalm Nagar,Afternoon,Low,No,No,Outer,Low,Safe,Monday,Good
Adyar,Baktavatsalm Nagar,Afternoon,Low,No,No,Outer,Low,Safe,Tuesday,Good
Adyar,Baktavatsalm Nagar,Afternoon,Low,No,No,Outer,Low,Safe,Wednesday,Good
Adyar,Baktavatsalm Nagar,Afternoon,Low,No,No,Outer,Low,Safe,Thursday,Good
Adyar,Baktavatsalm Nagar,Afternoon,Low,No,No,Outer,Low,Safe,Friday,Good
Adyar,Baktavatsalm Nagar,Afternoon,Low,No,No,Outer,Low,Safe,Saturday,Good
Adyar,Baktavatsalm Nagar,Afternoon,Low,No,No,Outer,Low,Safe,Sunday,Good
Adyar,Baktavatsalm Nagar,Evening,Medium,No,No,Outer,Low,Unsafe,Monday,Good
Adyar,Baktavatsalm Nagar,Evening,Medium,No,No,Outer,Low,Unsafe,Tuesday,Good
Adyar,Baktavatsalm Nagar,Evening,Medium,No,No,Outer,Low,Unsafe,Wednesday,Good
Adyar,Baktavatsalm Nagar,Evening,Medium,No,No,Outer,Low,Unsafe,Thursday,Good
Adyar,Baktavatsalm Nagar,Evening,Medium,No,No,Outer,Low,Safe,Friday,Good
Adyar,Baktavatsalm Nagar,Evening,Medium,No,No,Outer,Low,Unsafe,Saturday,Good
Adyar,Baktavatsalm Nagar,Evening,Medium,No,No,Outer,Low,Unsafe,Sunday,Good
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Monday,Moderate
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Monday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Monday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Tuesday,Moderate
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Tuesday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Tuesday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Wednesday,Moderate
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Wednesday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Wednesday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Thursday,Moderate
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Thursday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Thursday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Friday,Moderate
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Friday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Friday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Saturday,Moderate
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Saturday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Saturday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Sunday,Moderate
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Sunday,Poor
Adyar,Baktavatsalm Nagar,Night,Low,No,No,Outer,Low,Unsafe,Sunday,Poor
Ramapuram,Chidambaram Nagar,Morning,Medium,No,No,Middle,High,Safe,Monday,Good
Ramapuram,Chidambaram Nagar,Morning,Medium,No,No,Middle,High,Safe,Tuesday,Good
Ramapuram,Chidambaram Nagar,Morning,Medium,No,No,Middle,High,Safe,Wednesday,Good
Ramapuram,Chidambaram Nagar,Morning,Medium,No,No,Middle,High,Safe,Thursday,Good
Ramapuram,Chidambaram Nagar,Morning,Medium,No,No,Middle,High,Safe,Friday,Good
Ramapuram,Chidambaram Nagar,Morning,Medium,No,No,Middle,High,Safe,Saturday,Good
Ramapuram,Chidambaram Nagar,Morning,Medium,No,No,Middle,High,Safe,Sunday,Good
Ramapuram,Chidambaram Nagar,Afternoon,Low,No,No,Middle,High,Safe,Monday,Good
Ramapuram,Chidambaram Nagar,Afternoon,Low,No,No,Middle,High,Safe,Tuesday,Good
Ramapuram,Chidambaram Nagar,Afternoon,Low,No,No,Middle,High,Safe,Wednesday,Good
Ramapuram,Chidambaram Nagar,Afternoon,Low,No,No,Middle,High,Safe,Thursday,Good
Ramapuram,Chidambaram Nagar,Afternoon,Low,No,No,Middle,High,Safe,Friday,Good
Ramapuram,Chidambaram Nagar,Afternoon,Low,No,No,Middle,High,Safe,Saturday,Good
Ramapuram,Chidambaram Nagar,Afternoon,Low,No,No,Middle,High,Safe,Sunday,Good
Ramapuram,Chidambaram Nagar,Evening,Medium,No,No,Middle,High,Safe,Monday,Good
Ramapuram,Chidambaram Nagar,Evening,Medium,No,No,Middle,High,Safe,Tuesday,Good
Ramapuram,Chidambaram Nagar,Evening,Medium,No,No,Middle,High,Safe,Wednesday,Good
Ramapuram,Chidambaram Nagar,Evening,Medium,No,No,Middle,High,Safe,Thursday,Good
Ramapuram,Chidambaram Nagar,Evening,Medium,No,No,Middle,High,Safe,Friday,Good
Ramapuram,Chidambaram Nagar,Evening,Medium,No,No,Middle,High,Safe,Saturday,Good
Ramapuram,Chidambaram Nagar,Evening,Medium,No,No,Middle,High,Safe,Sunday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Monday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Monday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Monday,Moderate
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Tuesday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Tuesday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Tuesday,Moderate
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Wednesday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Wednesday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Wednesday,Moderate
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Thursday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Thursday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Thursday,Moderate
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Friday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Friday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Safe,Friday,Moderate
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Saturday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Saturday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Saturday,Moderate
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Sunday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Sunday,Good
Ramapuram,Chidambaram Nagar,Night,Low,No,No,Middle,High,Unsafe,Sunday,Moderate
Ramapuram,Easwaran Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Easwaran Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Easwaran Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Easwaran Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Easwaran Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Easwaran Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Easwaran Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Easwaran Nagar,Afternoon,Medium,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Easwaran Nagar,Afternoon,Medium,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Easwaran Nagar,Afternoon,Medium,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Easwaran Nagar,Afternoon,Medium,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Easwaran Nagar,Afternoon,Medium,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Easwaran Nagar,Afternoon,Medium,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Easwaran Nagar,Afternoon,Medium,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Easwaran Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Easwaran Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Easwaran Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Easwaran Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Easwaran Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Easwaran Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Easwaran Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Monday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Monday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Tuesday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Tuesday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Wednesday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Wednesday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Thursday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Thursday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Friday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Friday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Saturday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Saturday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Sunday,Moderate
Ramapuram,Easwaran Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Sunday,Moderate
Ramapuram,Gokulam Colony,Morning,Medium,No,Yes,Outer,High,Safe,Monday,Good
Ramapuram,Gokulam Colony,Morning,Medium,No,Yes,Outer,High,Safe,Tuesday,Good
Ramapuram,Gokulam Colony,Morning,Medium,No,Yes,Outer,High,Safe,Wednesday,Good
Ramapuram,Gokulam Colony,Morning,Medium,No,Yes,Outer,High,Safe,Thursday,Good
Ramapuram,Gokulam Colony,Morning,Medium,No,Yes,Outer,High,Safe,Friday,Good
Ramapuram,Gokulam Colony,Morning,Medium,No,Yes,Outer,High,Safe,Saturday,Good
Ramapuram,Gokulam Colony,Morning,Medium,No,Yes,Outer,High,Safe,Sunday,Good
Ramapuram,Gokulam Colony,Afternoon,High,No,Yes,Outer,High,Safe,Monday,Good
Ramapuram,Gokulam Colony,Afternoon,High,No,Yes,Outer,High,Safe,Tuesday,Good
Ramapuram,Gokulam Colony,Afternoon,High,No,Yes,Outer,High,Safe,Wednesday,Good
Ramapuram,Gokulam Colony,Afternoon,High,No,Yes,Outer,High,Safe,Thursday,Good
Ramapuram,Gokulam Colony,Afternoon,High,No,Yes,Outer,High,Safe,Friday,Good
Ramapuram,Gokulam Colony,Afternoon,High,No,Yes,Outer,High,Safe,Saturday,Good
Ramapuram,Gokulam Colony,Afternoon,High,No,Yes,Outer,High,Safe,Sunday,Good
Ramapuram,Gokulam Colony,Evening,Medium,No,Yes,Outer,High,Unsafe,Monday,Good
Ramapuram,Gokulam Colony,Evening,Medium,No,Yes,Outer,High,Unsafe,Tuesday,Good
Ramapuram,Gokulam Colony,Evening,Medium,No,Yes,Outer,High,Unsafe,Wednesday,Good
Ramapuram,Gokulam Colony,Evening,Medium,No,Yes,Outer,High,Unsafe,Thursday,Good
Ramapuram,Gokulam Colony,Evening,Medium,No,Yes,Outer,High,Unsafe,Friday,Good
Ramapuram,Gokulam Colony,Evening,Medium,No,Yes,Outer,High,Unsafe,Saturday,Good
Ramapuram,Gokulam Colony,Evening,Medium,No,Yes,Outer,High,Unsafe,Sunday,Good
Ramapuram,Gokulam Colony,Night,High,No,Yes,Outer,High,Unsafe,Monday,Good
Ramapuram,Gokulam Colony,Night,High,No,Yes,Outer,High,Unsafe,Monday,Good
Ramapuram,Gokulam Colony,Night,High,No,Yes,Outer,High,Unsafe,Monday,Moderate
Ramapuram,Gokulam Colony,Night,High,No,Yes,Outer,High,Unsafe,Tuesday,Good
Ramapuram,Gokulam Colony,Night,High,No,Yes,Outer,High,Unsafe,Tuesday,Good
Ramapuram,Gokulam Colony,Night,High,No,Yes,Outer,High,Unsafe,Tuesday,Moderate
Ramapuram,Gokulam Colony,Night,High,No,Yes,Outer,High,Unsafe,Wednesday,Good
